Title,Date,Session,URL
Strive for Excellence,October 1971,priesthood session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/strive-for-excellence?lang=eng
Why Do We Serve?,October 1984,Saturday morning session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/why-do-we-serve?lang=eng
Taking upon Us the Name of Jesus Christ,April 1985,Sunday afternoon session,https://www.churchofjesuschrist.org/study/general-conference/1985/04/taking-upon-us-the-name-of-jesus-christ?lang=eng
Spirituality,October 1985,Sunday morning session,https://www.churchofjesuschrist.org/study/general-conference/1985/10/spirituality?lang=eng
Reverent and Clean,April 1986,Sunday morning session,https://www.churchofjesuschrist.org/study/general-conference/1986/04/reverent-and-clean?lang=eng
Brother’s Keeper,October 1986,Saturday afternoon session,https://www.churchofjesuschrist.org/study/general-conference/1986/10/brothers-keeper?lang=eng
Priesthood Blessings,April 1987,priesthood session,https://www.churchofjesuschrist.org/study/general-conference/1987/04/priesthood-blessings?lang=eng
The Light and Life of the World,October 1987,Sunday morning session,https://www.churchofjesuschrist.org/study/general-conference/1987/10/the-light-and-life-of-the-world?lang=eng
Always Remember Him,April 1988,Saturday afternoon session,https://www.churchofjesuschrist.org/study/general-conference/1988/04/always-remember-him?lang=eng
What Think Ye of Christ?,October 1988,Sunday morning session,https://www.churchofjesuschrist.org/study/general-conference/1988/10/what-think-ye-of-christ?lang=eng
Alternate Voices,April 1989,Saturday afternoon session,https://www.churchofjesuschrist.org/study/general-conference/1989/04/alternate-voices?lang=eng
Modern Pioneers,October 1989,Sunday morning session,https://www.churchofjesuschrist.org/study/general-conference/1989/10/modern-pioneers?lang=eng
World Peace,April 1990,Sunday afternoon session,https://www.churchofjesuschrist.org/study/general-conference/1990/04/world-peace?lang=eng
Witnesses of Christ,October 1990,Saturday afternoon session,https://www.churchofjesuschrist.org/study/general-conference/1990/10/witnesses-of-christ?lang=eng
Honour Thy Father and Thy Mother,April 1991,Saturday morning session,https://www.churchofjesuschrist.org/study/general-conference/1991/04/honour-thy-father-and-thy-mother?lang=eng
Joy and Mercy,October 1991,Sunday afternoon session,https://www.churchofjesuschrist.org/study/general-conference/1991/10/joy-and-mercy?lang=eng
The Relief Society and the Church,April 1992,Saturday afternoon session,https://www.churchofjesuschrist.org/study/general-conference/1992/04/the-relief-society-and-the-church?lang=eng
Bible Stories and Personal Protection,October 1992,priesthood session,https://www.churchofjesuschrist.org/study/general-conference/1992/10/bible-stories-and-personal-protection?lang=eng
The Language of Prayer,April 1993,Saturday morning session,https://www.churchofjesuschrist.org/study/general-conference/1993/04/the-language-of-prayer?lang=eng
The Great Plan of Happiness,October 1993,Sunday afternoon session,https://www.churchofjesuschrist.org/study/general-conference/1993/10/the-great-plan-of-happiness?lang=eng
Faith in the Lord Jesus Christ,April 1994,general Young Women meeting,https://www.churchofjesuschrist.org/study/general-conference/1994/04/faith-in-the-lord-jesus-christ?lang=eng
